Municipio;Nombre de la iniciativa;Actividad/es;Dirección;Día(s);Horario;Mes;Año
F;Parque guaraní;Merendero;Itapeby 3050;Lunes a Domingo;18Hs;junio;2021
F;Merendero y olla Las Petunias;Olla y Merendero;Las Petunias 5328;Lunes a Sábado;Almuerzo y merienda;junio;2021
F;Núcleo sindical y colectivo docente Liceo N 43. Apoya la Panadería Real Pan (El Zorzal 9146, barrio Gori);Olla;Cno.O'higgins y Cno Sanguinetti;Lunes a Viernes;7:30 a 17 hs;junio;2021
F;Olla Liceo N° 77;Olla;Campillos y aparicio saravia;Martes;A coordinar con las familias;junio;2021
F;Mirando al futuro;Olla y Merendero;Pasaje 1 alta tensión 7976 Pedro Cantú y Angel Saneli;Martes, jueves y domingos;Hasta el mediodía;junio;2021
F;Nuestra Esperanza;Olla y Merendero;Los nogales 246;Lunes a domingo;S/D;junio;2021
F;El Renuevo - Parroquia;Olla y Merendero;Géminis 6370;Lunes a Viernes;18 hs.;junio;2021
F;Merendero y Comedor Nuevo Amanecer;Olla y Merendero;San Cono 3981 esq César Batlle Pacheco y Francisca Barroso;Lunes a viernes;10 y 13.30 hs;junio;2021
F;Olla Barrio 17 de Junio;Olla y Merendero;José Díaz solar 72 esquina Alfredo Zitarrosa;Martes a Viernes;Martes y Jueves olla. Miércoles y Viernes merienda.;junio;2021
F;Luisa Cuesta;Olla y Merendero;Oncativo 2918;sábados;13 y 9.30;junio;2021
F;"Olla ""Fogón Artiguista""";Olla;Ruta 8 km 20.800 al lado de Red Market;Lunes, Miércoles y Viernes;17hs;junio;2021
F;Unión Ibirapitá;Merendero;Florencia 3784 y Aparicio Saravia;L, Mi, y V;15 a 18:30hs;junio;2021
F;Washington pérez;Olla y Merendero;Washington pérez 5159 esq. José Belloni;L, M y V;18;junio;2021
F;Villa Solidaria;Olla;Corrales y Varela;Jueves;20hs;junio;2021
F;Manitos Unidas por los Niños;Olla y Merendero;HÉCTOR RODRIGUEZ EN ANDRÉS LAMAS 3456 ESQ. GUALEGUAY;Lunes a Domingo;18hs;junio;2021
F;Manitos unidas por los niños - Selva Garín;Olla y Merendero;José Belloni 6690 (frente al barrio Villa Camila);L a D;16 merendero, 19 olla;junio;2021
F;Julio;Olla y Merendero;Calle 1 solar 22;Lunes a viernes;17 a 19hs;junio;2021
F;La Poderosa;Olla y Merendero;Aparicio Saravia y Ricardo Aguilar;Sábados y Domingos;a partir de las 10hs, sirven comida 13 hs. Merienda: miércoles y viernes.;junio;2021
F;Nuevo Capra;Olla y Merendero;Oficial 95 solar 113 esquina 18 de noviembre;Todos los días;13 hs;junio;2021
F;Olla Popular Manuel Pérez y Curi (Bella Italia);Olla y Merendero;Manuel pérez 6129 esq. Curis;Lunes a sábado;A partir de 10:30 desayuno, merienda y cena sirven 18:30;junio;2021
F;Movimiento Codos a la Obra;Olla y Merendero;Servidumbre 7075 esq. Eridano e Hidra (antes de la terminal del 155);Lunes a sábado;a partir de las 12hs, se sirve la comida a las 17hs;junio;2021
F;Chacarita Solidaria;Olla y Merendero;Chacarita de los Padres 3207 (casa rosada con garaje);Merendero: L a V / Olla L, Mi y V;merendero: 16.30-17 hrs olla: 19.30-20.30 hrs;junio;2021
F;Olla Solidaria El Monarca;Olla y Merendero;Ruta 8 km 21700 Asentamiento Monarca, Calle 2, Solar 76;Lunes, miércoles y Viernes;Merendero 15:30, Olla 18:30;junio;2021
F;Olla popular de UTC / sindicato de funsa;Olla;8 de Octubre casi Habana;Martes y viernes;19hs;junio;2021
F;"Olla Popular ""Don Márquez""";Olla y Merendero;Ruta 8 Km 21700 Cno.El Oriente solar 100;Sábados y Domingo;19hs;junio;2021
F;Olla Popular “Lo de Richard”;Olla y Merendero;Julia arevalo 4611;Miércoles y sábado;18:30 hs.;junio;2021
F;Solidario Unido Seis Barrios;Olla y Merendero;Calle Rafael solar 43 esq Dunant - San bautista solar 7 esquina las piedras;Martes, Jueves, Sábados y Domingos;Olla y Merendero 15:30 hs (entregan todo junto);junio;2021
F;"Olla y Merendero ""Santa María""";Olla y Merendero;Teniente Galeano 3683 Esquina Sistina;Lunes a Viernes;16:30 y 19hs;junio;2021
F;Olla Peña Piedras Blancas Barrio Carbonero;Olla;Ferrara 3490;Miércoles ;20hs;junio;2021
F;Germinando;Merendero;Pasaje X solar 41 bis;todos los días;tarde;junio;2021
F;Mercadito Bella Italia;Olla;Carlomagno esq. Victor Manuel. Mercadito Bella Italia;Lunes a Viernes;8 a 13:30 entregan la comida;junio;2021
F;Merendero Asentamiento Santo Domingo Guzmán;Olla y Merendero;Calle 1 esq. Caviglia (salon comunal), barrio 17 de junio;M, Mi y S olla, LaV merendero por la mañana y SyD merendero por la tarde;19 hs olla. Merendero: Lunes a viernes 8 a 9:30, sab y domingo 17 a 18:30 hs;junio;2021
F;Merendero y olla Tierra deseable;Olla y Merendero;Leandro Gomez 3324 esq. Ricardo Aguerre;miércoles y viernes y Sábado;10:00;junio;2021
F;Jogue;Merendero;Cno Toledo Chico 4931;Sábado;12.30hs;junio;2021
F;Merendero Obra Social Cristiana Amanecer;Merendero;Ruta 8 km 16 Pasaje 1 8078 esq. angel zanelli;Sábado y Domingo;17hs;junio;2021
F;Vecinas de Asentamiento Santa Ma. Eugenia;Olla y Merendero;Servando Gómez al final de la calle y Camino Carrasco, barrio Servando Gómez (Cno Carrasco y puente arroyo Carrasco al norte);Lunes a viernes;9 a 15hs;junio;2021
F;Las cabañitas;Olla y Merendero;Cont. Clemente Frigerio casa 7 esquina Pantaleon Perez;LaV;18hs;junio;2021
F;Parque Guaraní - Brig José Artigas;Olla;Itapebi esquina Urutau;Lunes a sábados;16 a 20hs;junio;2021
F;Sopa de Amor ( Ejercito de Salvacion;Olla;Felix Laborde 2577 esq.8 de octubre;Martes y Viernes;19:00 a 21:00;junio;2021
F;Alimentando corazones;Olla y Merendero;Varsovia 2958 esq.Servidumbre y Cno. Delfín;Lunes a sábado;20:00 Hs;junio;2021
F;Olla Unión;Olla;Minnesota 2066;L,M,V y D;20hs;junio;2021
F;Olla Casa Niños;Olla y Merendero;Pedro de Mendoza y Osvaldo Rodríguez 5845;Lunes a Sábado;10 y 19hs;junio;2021
F;La Hermosa;Olla y Merendero;Marin Duran 1081 y vía férrea y Unión;Lunes a domingo Merienda/ lunes miércoles sábados olla;S/D;junio;2021
